No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
435,琴,琴,こと,japanese harp,S,N1,2
436,筋,筋肉,きんにく,muscle,G6,N1,2
438,禁,禁止,きんし,forbidden by law,G5,N2,2
439,緊,緊張,きんちょう,nervous/stressed,S,N1,2
447,苦,苦い/苦しい,にがい/くるしい,bitter/suffering,G3,N3,2
449,具,道具,どうぐ,tool,G3,N3,2
456,串,串カツ,くしカツ,kushikatsu (japanese skewers),S,N1,2
460,熊,熊 (熊本県),くま （くまもとけん）,bear (Kumamoto Prefecture),S,N1,2
461,繰,繰り返し,くりかえし,repeat after me,S,N1,2
463,訓,訓読み,くんよみ,kunyomi reading,G4,N2,2
472,系,日系,にっけい,Japanese descent,G6,N1,2
477,契,喫茶店,きっさてん,coffee Shop/cafe,S,N1,2
483,経,経験,けいけん,experience,G5,N3,2
484,蛍,蛍,ほたる,firefly,S,N1,2
487,軽,軽い,かるい,light,G3,N2,2
489,携,携帯,けいたい,cellphone,S,N1,2
495,憩,休憩,きゅうけい,break time,S,N1,2
496,警,警察,けいさつ,police,G6,N3,2
497,鶏,鶏,にわとり,chicken,S,N1,2
498,芸,芸者,げいしゃ,geisha,G4,N2,2
500,鯨,鯨,くじら,whale,S,N1,2
502,劇,劇場,げきじょう,theater,G6,N2,2
506,欠,欠片,かけら,fragment,G4,N3,2
507,穴,穴,あな,hole,G6,N1,2
510,結,結婚する,けっこんする,to marry,G4,N1,2
518,肩,肩,かた,shoulder,S,N2,2
519,建,建物,たてもの,building,G4,N4,2
524,剣,剣道,けんどう,kendo,S,N1,2
525,拳,拳/じゃん拳ぽん,けん/ジャンケンポン,fist/jyan-ken-pon!,S,N1,2
527,健,健康,けんこう,health,G4,N1,2
528,険,危険,きけん,dangerous,G5,N3,2
530,堅,堅い,かたい,hard (figuratively),S,N1,2
537,憲,憲法,けんぽう,constitution,G6,N1,2
540,鍵,鍵,かぎ,key,S,N1,2
543,験,試験,しけん,test,G4,N4,2
544,懸,一生懸命,いっしょうけんめい,"with all one's might, with utmost effort",S,N1,2
547,玄,玄関,げんかん,entryway,S,N1,2
552,現,現実,げんじつ,reality,G5,N3,2
556,厳,厳しい,きびしい,strict!,G6,N1,2
557,己,自己紹介,じこしょうかい,self introduction,G6,N1,2
560,呼,呼ぶ,よぶ,to call someone,G6,N3,2
561,固,固い,かたい,hard,G4,N2,2
563,虎,虎,とら,tiger,S,N1,2
566,故,事故,じこ,accident,G5,N1,2
569,庫,冷蔵庫,れいぞうこ,refridgerator,G3,N2,2
570,湖,湖,みずうみ,lake,G3,N2,2
573,鼓,太鼓,たいこ,taiko drum,S,N1,2
577,互,交互に,こうごに,alternately,S,N3,2
579,呉,呉れる,くれる,to give,S,N1,2
583,碁,碁,ご,go (the game),S,N1,2
586,護,看護師,かんごし,nurse,G5,N1,2
596,交,交差点,こうさてん,Intersection,G2,N3,2
598,向,向こう,むこう,opposite side/other side,G3,N3,2
601,江,江戸,えど,Edo period,S,N1,2
607,攻,専攻,せんこう,major,S,N1,2
614,厚,厚い,あつい,thick,G5,N2,2
617,皇,天皇,てんのう,emperor,G6,N1,2
621,香,香り,かおり,fragrant,S,N2,2
627,降,降る, ふる,rain falls,G6,N3,2
629,康,健康,けんこう,health,G4,N1,2
632,黄,黄色,きいろ,yellow,G2,N2,2
633,喉,喉,のど,throat,S,N1,2
636,硬,硬い,かたい,physically hard,S,N2,2
641,構,結構,けっこう,no thanks,G5,N3,2
652,合,場合,ばあい,in the case of,G2,N3,2
664,酷,酷い,ひどい,horrible/terrible/cruel,S,N1,2
665,獄,地獄,じごく,hell,S,N1,2
669,頃,頃,ごろ,around that time,S,N1,2
673,恨,恨み,うらみ,a grudge,S,N1,2
674,根,屋根,やね,roof,G3,N2,2
675,婚,結婚,けっこん,Marriage,S,N3,2
676,混,混でる,こんでる,to be crowded,G5,N2,2
679,魂,魂,だましい,"soul, spirit",S,N1,2
683,佐,佐賀県,さがけん,Saga prefecture,S,N1,2
688,差,交差点,こうさてん,intersection,G4,N3,2
694,再,再来週,さらいしゅう,week after next,G5,N2,2
696,妻,妻,つま,wife,G5,N3,2
700,栽,盆栽,ぼんさい,bonsai plant,S,N1,2
706,細,細い,ほそい,thin,G2,N2,2
707,菜,野菜,やさい,vegetables,G4,N2,2
716,埼,埼玉県,さいたまけん,Saitama Prefecture,S,N1,2
720,財,財布,さいふ,wallet,G5,N3,2
728,策,政策,せいさく,a policy,G6,N1,2
738,殺,殺す,ころす,to kill,G4,N3,2
739,察,警察,けいさつ,police,G4,N3,2
742,雑,雑誌,ざっし,magazine,G5,N3,2
746,参,参る,まいる,to go/to come - polite (train arriving etc),G4,N3,2
750,産,お土産,おみやげ,souvenir,G4,N3,2
752,散,散歩,さんぽ,a stroll/to go for a walk,G4,N3,2
754,酸,酸っぱい,すっぱい,sour,G5,N1,2
756,残,残念,ざんねん,"""thats too bad""",G4,N3,2
758,暫,暫く,しばらく,for a moment/in a moment,S,N1,2
759,士,武士,ぶし,samurai,G4,N1,2
761,支,支払い,しはらい,to pay,G5,N3,2
763,氏,彼氏 /氏 (藤原氏),かれし/うじ （ふじわらうじ）,boyfriend/clan (fujiwara clan),G4,N1,2
770,旨,旨い,うまい,delicious,S,N1,2
778,刺,名刺,めいし,business card,S,N2,2
781,枝,枝/枝豆,えだ/えだまめ,branch/edamame,G5,N2,2
786,指,指,ゆび,finger,G3,N3,2
790,紙,紙,かみ,paper,G2,N4,2
791,脂,脂,あぶら,fat,S,N2,2
793,紫,紫,むらさき,purple,S,N1,2
801,誌,雑誌,ざっし,magazine,G6,N2,2
812,似,物真似,ものまね,impersonation,G5,N3,2
815,侍,侍,さむらい,,S,N1,2
816,治,政治,せいじ,politics,G4,N3,2
821,辞,辞める,やめる,to stop,G4,N3,2
825,鹿,鹿　（鹿児島県）,しか　（かごしまけん）,deer (Kagoshima Prefecture),S,N1,2
831,失,失礼,しつれい,rude,G4,N3,2
844,舎,田舎,いなか,countryside,G5,N1,2
846,射,注射,ちゅうしゃ,needle/injection,G6,N1,2
847,捨,捨てる,すてる,to throw away,G6,N2,2
852,謝,謝る,あやまる,apologize,G5,N1,2
853,邪,風邪,かぜ,cold/flu,S,N1,2
854,蛇,蛇,へび,snake,S,N1,2
856,借,借りる,かりる,to borrow,G4,N4,2
862,寂,寂しい,さびしい,lonely,S,N1,2
865,守,守る,まもる,protect,G3,N3,2
874,種,種,たね,seed,G4,N3,2
875,趣,趣味,しゅうみ,hobby,S,N1,2
876,寿,寿司,すし,sushi!,S,N1,2
879,授,授業,じゅぎょう,lesson/class,G5,N1,2
885,州,九州 ,しゅう,state,G3,N2,2
888,周,周り,まわり,all around (360 degrees),G4,N2,2
893,修,研修生,けんしゅうせい,trainee,G5,N1,2
899,就,就職,しゅうしょく,find a job,G6,N1,2
904,醜,醜い,みにくい,ugly,S,N1,2
908,汁,味噌汁,みそしる,miso soup,S,N1,2
911,柔,柔道,じゅうどう,judo,S,N2,2
914,渋,渋谷,しぶや,Shibuya,S,N1,2
916,獣,怪獣,かいじゅう,godzilla monsters,S,N1,2
918,叔,叔母/叔父 ,おば/おじ,aunt/uncle but younger than parents,S,N1,2
924,塾,塾,じゅく,cram school,S,N1,2
925,熟,熟語,じゅくご,compound word,G6,N1,2
928,術,美術館,びじゅつかん,arts museum,G5,N3,2
940,準,準備する,じゅんびする,to get ready,G5,N2,2
949,署,警察署,けいさつしょ,police station,G6,N2,2
953,如,如やって,どうやって,how?,S,N1,2
954,助,助けて,たすけて,Help!!!!,G3,N3,2
957,徐,徐々(徐々お待ちください),じょじょ (しょしょおまちください）,"little by little/gradually (""please wait a moment"" said by waiters)",S,N1,2
958,除,掃除,そうじ,house cleaning,G6,N3,2
962,召,召し上がる,めしあがる,eat (formal),S,N2,2
968,招,招き猫,まねきねこ,Maneki Neko,G5,N3,2
973,昭,昭和,しょうわ,Showa era,G3,N1,2
975,将,"将棋/将軍/将来

","しょうぎ/しょうぐん/しょうらい
",shogi/shogun/future ,G6,N2,2
984,章,文章,ぶんしょう,sentence,G3,N2,2
985,紹,自己紹介,じこしょうかい,self introduction,S,N2,2
987,勝,勝つ,かつ,to win,G3,N3,2
992,硝,硝子,ガラス,glass,S,N1,2
996,象,象,ぞう,elephant,G4,N2,2
1003,憧,憧れる,あこがれる,to yearn for (your heart yearns for),S,N1,2
1012,条,条件,じょうけん,condition,G5,N1,2
1021,畳,畳,たたみ,tatami,S,N2,2
1022,蒸,蒸し暑い,むしあつい,humid,G6,N2,2
1023,縄,沖縄,おきなわ,Okinawa ,S,N1,2
1035,触,触る,さわる,touch,S,N2,2
1040,尻,お尻,おしり,butt,S,N1,2
1042,申,申し申し/申す,もうしもうし/もうす,moshi moshi/Jessica to moshimasu,G3,N3,2
1050,津,津波,つなみ,tsunami,S,N1,2
1051,神,神,かみ,god,G3,N3,2
1052,唇,唇,くちびる,lips,S,N1,2
1060,進,進め!,すすめ!,To move forward (AKB48 RIVER),G3,N3,2
1063,寝,寝る,ねる,to sleep,S,N3,2
1067,震,地震,じしん,earthquake,S,N2,2
1077,尋,尋ねる,たずねる,to ask (formal),S,N1,2
1082,吹,吹く,ふく,blow,S,N3,2
1103,是,是非,ぜひ,absolutely,S,N1,2
1104,井,井戸 （福井県）,いど（ふくいけん）,a well (Fukui Prefecture),S,N1,2
1108,成,成る,なる,to become,G4,N3,2
1111,制,制服,せいふく,uniform,G5,N3,2
1112,姓,姓名,せいめい,full name,S,N2,2
1117,政,政治,せいじ,politics,G5,N3,2
1121,凄,凄い,すごい,wow!,S,N1,2
1122,逝,逝け面,いけめん,ugly man (pun of イケ面),S,N1,2
1124,盛,盛り上がる,もりあがる,to have the energy go up,G6,N1,2
1126,晴,晴れる,はれる,clear weather,G2,N3,2
1152,績,成績,せいせき,rank/score/grade/results,G5,N2,2
1153,籍,戸籍,こせき,family register,S,N2,2
1155,折,折る (折り紙),おる (おりがみ),to fold (paper),G4,N3,2
1162,節,季節,きせつ,season,G4,N1,2
1165,絶,絶対,ぜったい,"absolutely, without fail",G5,N3,2
1168,仙,仙台市,せんだいし,Sendai city,S,N1,2
1172,専,専攻,せんこう,major,G6,N2,2
1173,泉,温泉,おんせん,hot spring ,G6,N2,2
1177,扇,扇子,せんす,a traditional fan,S,N1,2
1180,船,船/風船,ふね/ふうせん,Ship/Balloon,G2,N3,2
1181,戦,戦争,せんそう,war,G4,N3,2
1183,羨,羨ましい,"うらやましい,",jealousy/envy,S,N1,2
1200,禅,禅,ぜん,zen (buddhism)​,S,N1,2
1208,素,素晴らしい,すばらしい,"wow, amazing, that was the best!",G5,N1,2
1217,双,双子,ふたご,twins,S,N2,2
1220,争,戦争,せんそう,war,G4,N3,2
1221,走,走る,はしる,run,G2,N4,2
1223,相,相手,あいて,partner,G3,N3,2
1228,捜,捜す,さがす,to search,S,N2,2
1232,掃,掃除,そうじ,house-cleaning,S,N2,2
1233,曹,曹洞禅,そうとうぜん,soto zen buddhism,S,N1,2
1236,窓,窓,まど,window,G6,N3,2
1243,想,感想,かんそう,Impression ,G3,N3,2
1249,操,体操,たいそう,exercises,G6,N1,2
1252,騒,騒ぐ,さわぐ,make noise,S,N1,2
1256,増,増える,ふえる,to increase,G5,N3,2
1258,蔵,冷蔵庫,れいぞうこ,refridgerator ,G6,N2,2
1260,臓,心臓,しんぞう,heart (organ),G6,N2,2
1262,束,約束,やくそく,promise,G4,N3,2
1266,息,息子,むすこ,son,G3,N3,2
1268,速,速い,はやい,fast,G3,N3,2
1269,側,左側/右側,ひだりがわ/みぎがわ,left side right side,G4,N3,2
1275,続,続く,つづく,to continue,G4,N3,2
1279,村,村,むら,village,G1,N2,2
1284,他,他,ほか,other,G3,N3,2
1287,打,打つ ,うつ,hit,G3,N3,2
1294,対,絶対,ぜったい,definitely/absolutely,G3,N3,2
1301,帯,帯,おび,belt,G4,N2,2
1304,袋,袋,ふくろ,bag,S,N2,2
1310,態,変態,へんたい,pervert,G5,N1,2
1315,第,第一,だいいち,first (chapter etc),G3,N1,2
1320,沢,沢山,たくさん,many,S,N1,2
1324,濯,洗濯する,せんたくする,laundry,S,N2,2
1328,達,友達,ともだち,friend,G4,N3,2
1329,脱,脱ぐ,ぬぐ,take off clothes,S,N1,2
1332,誰,誰,だれ,who?,S,N1,2
1336,単,簡単,かんたん,simple,G4,N3,2
1339,探,探す,さがす,to search,G6,N3,2
1347,団,お団子,おだんご,dango,G5,N2,2
1349,段,階段,かいだん,stairway,G6,N3,2
1352,暖,暖かい,あたたかい,warm,G6,N1,2
1353,談,冗談,じょうだん,joke,G3,N3,2
1358,値,値段,ねだん,price,G6,N3,2
1359,恥,恥ずかしい,はずかしい,embarrased,S,N3,2
1360,致,致す,いたす,polite (to do),S,N1,2
1361,遅,遅い,おそい,slow,S,N3,2
1362,痴,痴漢,ちかん,perverts (who grope women on the trains/in public),S,N1,2
1363,稚,幼稚園,ようちえん,kindergarten,S,N1,2
1366,竹,竹,たけ,bamboo,G1,N2,2
1377,仲,仲間,なかま,friend/family/tribe,G4,N2,2
1379,沖,沖縄,おきなわ,Okinawa,S,N1,2
1380,宙,宇宙,うちゅう,space,G6,N1,2
1383,注,注意,ちゅうい,careful,G3,N4,2
1387,酎,焼酎,しょうちゅう,shochu ,S,N1,2
1389,駐,駐車場,ちゅうしゃじょう,parking lot,S,N2,2
1392,丁,丁寧,ていねい,polite,G3,N1,2
1400,張,頑張る,がんばる,good luck! try your best!,G5,N1,2
1404,頂,頂きます,いただきます,"""Itadakimasu"" (said before eating)",G6,N3,2
1408,超,超,ちょう!,very (casual),S,N2,2
1418,直,直す,なおす,to fix,G2,N3,2
1422,珍,珍しい,めずらしい,rare,S,N2,2
1428,椎,椎茸,しいたけ,shiitake mushroom,S,N1,2
1430,通,普通,ふつう,Normal,G2,N4,2
1431,痛,痛い,いたい,"""OUCH!"" ""It hurts!""",G6,N3,2
1440,弟,弟,おとうと,little brother,G2,N4,2
1443,抵,大抵,たいてい,usually/in most cases,S,N1,2
1451,停,バス停,ばすてい,bus stop,G4,N2,2
1452,偵,探偵,たんてい,private detective,S,N1,2
1455,程,成程!,なるほど!,Oh I see!,G5,N3,2
1458,諦,諦める,あきらめる,to give up,S,N1,2
1459,泥,泥棒,どろぼう,robber,S,N2,2
1465,敵,素敵,すてき,wonderful!,G5,N1,2
1468,哲,哲学,てつがく,philosophy,S,N1,2
1469,鉄,地下鉄,ちかてつ,subway,G3,N2,2
1481,伝,手伝う,てつだう,help,G4,N3,2
1488,途,途中,とちゅう,on the way,S,N3,2
1494,奴,奴,やつ,"""hey you!"" for tough guys",S,N1,2
1495,努,努力,どりょく,really grueling effort,G4,N3,2
1507,倒,倒れる,たおれる,to be knocked down or fall over,S,N3,2
1521,湯,湯,ゆ,hot or boiling water,G3,N2,2
1523,登,登ぼる,のぼる,to climb,G3,N3,2
1527,統,大統領,だいとうりょう,president (of a country),G5,N1,2
1530,糖,砂糖,さとう,sugar,G6,N1,2
1533,藤,藤原氏,ふじわら,Fujiwara clan,S,N1,2
1539,動,動く,うごく,move,G3,N4,2
1540,堂,食堂,しょくどう,cafeteria,G4,N4,2
1543,働,働く,はたらく,work,G4,N3,2
1546,瞳,瞳,ひとみ,pupils,S,N1,2
1550,得,得意,とくい,skill,G4,N3,2
1555,独,独身,どくしん,single,G5,N1,2
1557,栃,栃木県,とちぎけん,Tochigi Prefecture,S,N1,2
1559,突,突然,とつぜん,suddenly,S,N3,2
1566,曇,曇り,くもり,cloudy,S,N2,2
1569,奈,奈良県,ならけん,Nara Prefecture,S,N1,2
1573,鍋,鍋,なべ,nabe,S,N1,2
1575,軟,軟かい,やわらかい,soft,S,N2,2
1576,難,難しい,むずかしい,difficult,G6,N3,2
1582,虹,虹,にじ,rainbow,S,N1,2
1589,忍,忍者,にんじゃ,ninja,S,N1,2
1591,寧,丁寧,ていねい,politeness,S,N1,2
1594,念,残念,ざんねん,too bad,G4,N3,2
1597,燃,燃える,もえる,burns,G5,N2,2
1600,能,能,のう,Noh theatre,G5,N3,2
1603,濃,濃い,こい,strong coffee or dense fog,S,N2,2
1605,波,波,なみ,wave,G3,N2,2
1610,婆,婆,ばば,old woman,S,N1,2
1613,杯,乾杯,かんぱい！,cheers!,S,N3,2
1616,俳,俳句,はいく,haiku,G6,N1,2
1621,輩,先輩/後輩,せんぱい/こうはい,senpai/kohai,S,N1,2
1623,倍,倍,ばい,times (2 times/double 3 times/triple),G3,N2,2
1631,伯,伯母さん,おばさん,aunt/uncle (older than parents),S,N1,2
1632,拍,拍手,はくしゅ,to clap your hands,S,N1,2
1633,泊,泊まる,とまる,stay somewhere overnight,S,N2,2
1638,薄,薄い,うすい,thin or weak flavor,S,N2,2
1639,麦,麦,むぎ,wheat,G2,N2,2
1644,箸,箸,はし,chopsticks,S,N1,2
1646,肌,肌,はだ,skin (human),S,N2,2
1650,髪,髪,かみ,hair,S,N3,2
1653,罰,罰ゲーム,ばつげーむ,punishment game!,S,N1,2
1654,閥,財閥,ざいばつ,zaibatsu (big buisiness),S,N1,2
1655,反,反対,はんたい,opposite,G3,N3,2
1662,判,判子,はんこ,seal,G5,N3,2
1663,坂,坂/坂道,さか/さかみち,hill/hilly road,G3,N2,2
1664,阪,大阪府,おおさかふ,Osaka Prefecture,S,N1,2
1674,煩,煩い,うるさい,"loud (also ""be quiet!"")",S,N1,2
1690,肥,肥満,ひまん,obesity,G5,N1,2
1691,非,是非,ぜひ,absolutely!,G5,N3,2
1693,飛,飛ぶ,とぶ,to fly,G4,N3,2
1694,疲,疲れた,つかれた,tired,S,N3,2
1695,秘,秘密,ひみつ,secret,G6,N1,2
1696,被,被る,かぶる,to wear on head (like a hat),S,N2,2
1703,尾,尻尾,しっぽ,tail,S,N1,2
1704,眉,眉毛,まゆげ,eyebrows,S,N1,2
1706,備,準備,じゅんび,to be ready!,G5,N3,2
1709,膝,膝,ひざ,knees,S,N1,2
1711,匹,ｘｘｘ匹,ｘｘｘひき/びき,small animal ,S,N2,2
1714,筆,筆,ふで,brush,G3,N2,2
1715,姫,姫,ひめ,princess,S,N1,2
1718,表,表,おもて,front surface/2D/front and back,G3,N3,2
1725,秒,秒,びょう,second,G3,N2,2
1727,描,描く,えがく,to depict; to describe,S,N1,2
1731,貧,貧乏,びんぼう,poor ,G5,N3,2
1737,夫,夫,おっと,husband (formal),G4,N3,2
1739,付,気を付けて/見付ける,きをつけて/みつける,be careful!/to find,G4,N3,2
1740,布,布団,ふとん,futon,G5,N2,2
1742,府,政府,せいふ,government,G4,N2,2
1743,怖,怖い,こわい,scary,S,N3,2
1747,負,負ける,まける,to lose (a game) ,G3,N3,2
1749,浮,浮く,うく,float,S,N3,2
1750,婦,夫婦,ふうふ,married couple,G5,N3,2
1751,符,切符,きっぷ,ticket,S,N2,2
1752,富,富士山,ふじさん,Mt. Fuji,G5,N3,2
1753,普,普通,ふつう,normal,S,N2,2
1754,腐,豆腐,とうふ,tofu,S,N1,2
1756,膚,皮膚,ひふ,skin (medical term),S,N2,2
1760,武,武士,ぶし,samurai,G5,N2,2
1761,部,全部,ぜんぶ,all,G3,N3,2
1762,舞,お見舞い/歌舞伎,おみまい/かぶき,to visit someone at the hospital/kabuki,S,N3,2
1771,腹,腹,は・おなか,stomach/abdomen,G6,N3,2
1772,複,複雑,ふくざつ,complicated,G5,N2,2
1774,払,払う,はらう,pay,S,N3,2
1776,仏,大仏,だいぶつ,giant buddha statue,G5,N2,2
1789,平,平和,へいわ,peace,G3,N3,2
1792,並,並木,なまき,row of trees,G6,N2,2
1800,餅,餅,もち,mochi,S,N1,2
1802,壁,壁,かべ,wall,S,N1,2
1807,片,欠片,かけら,fragment,G6,N2,2
1808,辺,この  辺 に ,( この ) へん ( に ),around here...,G4,N2,2
1809,返,返す,かえす,to return,G3,N3,2
1818,保,保険,ほけん,health insurance,G5,N1,2
1825,墓,墓,はか,grave,G5,N1,2
1834,宝,宝物,たからもの,treasure,G6,N2,2
1835,抱,抱きしめる ,だきしめる ,to hold in arms/to hug,S,N3,2
1847,蜂,蜂,ハチ,bee,S,N1,2
1850,褒,褒める,ほめる,praise,S,N1,2
1853,乏,貧乏な,びんぼうな,poor,S,N1,2
1855,坊,お坊さん/赤ん坊,お ぼう さん/あかんぼう,monk/baby,S,N1,2
1867,帽,帽子,ぼうし,hat,S,N2,2
1868,棒,泥棒,どろぼう,robber,G6,N2,2
1882,撲,相撲,すもう,sumo,S,N1,2
1890,盆,盆栽,ぼんさい,bonsai,S,N1,2
1891,麻,麻雀,マージャン,majong,S,N1,2
1893,磨,歯を磨く,はをみがく,to brush teeth,S,N2,2
1894,魔,悪魔/魔法/魔女,あくま/まほう/まじょ,devil/witchcraft/witch,S,N1,2
1897,枚,ｘｘｘ枚,ｘｘｘまい,counter for flat things,G6,N2,2
1900,幕,幕府,ばくふ,bakufu (shogun government),G6,N1,2
1903,又,又,また,again,S,N1,2
1907,満,肥満,ひまん,obesity,G4,N3,2
1909,漫,漫画,まんが,manga,S,N1,2
1910,未,未来,みらい,future,G4,N3,2
1914,密,秘密,ひみつ,secret,G6,N1,2
1915,蜜,蜂蜜,はちみつ,honey,S,N1,2
1919,眠,眠い,ねむい,sleepy,S,N3,2
1921,務,事務所,じむしょ,Office,G5,N3,2
1928,明,明るい,あかるい,bright,G2,N4,2
1929,迷,道に迷う,みちにまよう,to get lost,G5,N3,2
1935,免,御免なさい,ごめんなさい,sorry,S,N1,2
1937,綿,木綿,もめん,cotton,G5,N2,2
1948,黙,黙る,だまる,shut up,S,N1,2
1958,約,約束,やくそく,Promise,G4,N3,2
1963,由,自由,じゆう,freedom ,G3,N3,2
1973,勇,勇気,ゆうき,bravery/courage,G4,N2,2
1976,郵,郵便局,ゆうびんきょく,post office,G6,N2,2
1985,優,優しい,やさしい,kind,G6,N3,2
1991,幼,幼稚園,ようちえん,kindergarten,G6,N2,2
1992,用,用事,ようじ,things to do,G2,N4,2
1993,羊,羊,ひつじ,sheep,G3,N1,2
1996,要,必要,ひつよう,need,G4,N3,2
2002,陽,太陽,たいよう,the sun,G3,N3,2
2007,踊,踊る,おどる,dance,S,N2,2
2015,浴,浴びる,あびる,take a shower/bath,G4,N2,2
2018,翼,翼,つばさ,wing,S,N1,2
2019,拉,拉麺,ラーメン,chinese way to spell ramen,S,N1,2
2020,裸,裸,はだか,naked,S,N1,2
2023,雷,雷,かみなり,lightening,S,N1,2
2026,落,落ちる,おちる,fall,G3,N3,2
2031,覧,御覧下さい,ごらんください,please watch (formal),G6,N1,2
2037,里,里,さと,village,G2,N1,2
2039,痢,下痢,げり,diarrhea,S,N1,2
2041,履,履く,はく,put on pants,S,N1,2
2050,流,流れる,ながれる,to flow (like tears),G3,N3,2
2063,料,料理,りょうり,cooking,G4,N4,2
2064,涼,涼しい,すずしい,cool (weather),S,N2,2
2069,領,大統領,だいとうりょう,president,G5,N2,2
2079,輪,指輪,ゆびわ,ring (for your finger),G4,N2,2
2080,隣,隣,となり,neighbor,S,N1,2
2083,涙,涙,なみだ,tear,S,N2,2
2088,礼,失礼,しつれい,rude,G3,N3,2
2091,戻,戻る,もどる,to return,S,N3,2
2094,零,零,れい,zero,S,N2,2
2098,麗,綺麗な,きれい,pretty,S,N1,2
2108,練,練習,れんしゅう,practice,G3,N2,2
2114,露,露天風呂,ろてんぶろ,outdoor hotspring,S,N1,2
2120,浪,浪人,ろうにん,ronin - masterless samurai,S,N1,2
2135,湾,台湾,たいわん,Taiwan,S,N2,2
2136,腕,腕,うで,arm,S,N2,2
7,握,握手,あくしゅ,handshake,S,N1,3
22,威,威張る,いばる,boast,S,N1,3
25,胃,胃,い,stomach,G4,N2,3
27,異,異なる,ことなる,be different from,G6,N1,3
36,慰,慰める,なぐさめる,to comfort/console,S,N1,3
47,印,印鑑,いんかん,signature stamp ,G4,N2,3
56,隠,隠れる,かくれる,hide (oneself),S,N1,3
72,栄,栄養,えいよう,nutrition,G4,N2,3
76,鋭,鋭い,するどい,sharp (like a needle or a sword),S,N2,3
77,衛,衛星,えいせい,satellite,G5,N1,3
90,炎,炎,ほのお,fire (large fire/campfire),S,N1,3
94,援,応援,おうえん,cheer (at a game),S,N1,3
96,煙,煙い,けむい,smokey,S,N3,3
108,応,応援,おうえん,cheer (at a game!),G5,N1,3
112,欧,欧米,おうべい,The West (Europe & USA),S,N2,3
113,殴,殴る,なぐる,"punch, hit, slap",S,N1,3
118,岡,岡山県,おかやまけん,Okayama Prefecture,S,N1,3
130,穏,穏やか,おだやか,calm peaceful person,S,N1,3
149,華,華々しい,はなばなしい,flamboyant/flowery,S,N1,3
151,貨,貨物,かもつ,cargo,G4,N2,3
161,稼,稼ぐ,かせぐ,make money,S,N1,3
166,我,我慢,がまん,persevere,G6,N1,3
177,戒,戒める,いましめる,"tell off, caution",S,N1,3
179,怪,怪獣,かいじゅう,godzilla monsters,S,N1,3
181,悔,悔しい,くやしい,regret after you messed up ,S,N1,3
185,械,機械,きかい,machine,G4,N2,3
200,崖,崖,がけ,cliff,S,N1,3
209,柿,柿,かき,persimmon,S,N1,3
222,確,たしか,たしか,probably....,G5,N3,3
230,顎,顎,あご,chin/jaw,S,N1,3
231,掛,掛かる,かかる,take (length of time),S,N3,3
232,潟,新潟県,にいがたけん,Niigata Prefecture,S,N1,3
237,割,割合,わりあい,ratio,G6,N3,3
239,滑,滑る,すべる,slip,S,N1,3
244,釜,大釜,おおかま,cauldron,S,N1,3
253,肝,肝,きも,liver/courage,S,N1,3
266,換,交換,こうかん,exchange (language exchange),S,N2,3
267,敢,敢えて,あえて,dare,S,N1,3
277,慣,習慣,しゅうかん,custom,G5,N3,3
286,環,環境,かんきょう,environment,S,N1,3
288,観,観光客,かんこうきゃく,tourist,G4,N3,3
291,鑑,印鑑,いんかん,personal seal,S,N1,3
294,岸,海岸,かいがん,coast,G3,N2,3
297,眼,眼球,がんきゅう,eyeball (medical),G5,N1,3
301,企,企画,きかく,scheme,S,N1,3
310,奇,可笑しい,おかしい,"funny, strange",S,N1,3
313,紀,世紀,せいき,century,G4,N1,3
321,基,基づく,もとずく,be based on,G5,N1,3
341,偽,偽る,いつわる,"deceive, lie",S,N1,3
353,詰,詰める,つめる,stuff into/pack/fill,S,N2,3
361,及,及ぶ,およぶ,"reach, extend to",S,N1,3
364,旧,旧姓,きゅうせい,maiden name,G5,N2,3
369,求,求める,もとめる,to demand or request,G4,N3,3
378,給,無給,むきゅう,unpaid,G4,N3,3
386,拠,証拠,しょうこ,evidence,S,N1,3
387,挙,選挙,せんきょ,election,G4,N1,3
389,許,許して,ゆるして,forgive me,G5,N3,3
395,共,公共,こうきょう,public (like a public toilet),G4,N3,3
396,叫,叫ぶ,さけぶ,to exclaim!,S,N2,3
397,狂,狂う,くるう,"go mad, be out of order",S,N1,3
401,協,協力/協会,きょうりょく/きょうかい,cooperation/union,G4,N2,3
404,挟,挟む,はさむ,"catch, hold (between two things)",S,N2,3
406,恐,恐れる,おそれる,dread,S,N3,3
418,響,響き,ひびき,echo,S,N1,3
420,仰,仰ぐ,あおぐ,"gaze, look up, respect, fan oneself",S,N1,3
423,凝,凝らす,こらす,concentrate,S,N1,3
434,勤,勤める,つとめる,work for,G6,N3,3
453,偶,偶 に ,たま に ,ocassionally,S,N3,3
457,屈,退屈,たいくつ,boring,S,N1,3
458,掘,掘る,ほる,dig,S,N2,3
466,軍,軍隊,ぐんたい,army,G4,N2,3
467,郡,郡,ぐん,county,G4,N1,3
470,刑,刑務所,けいむしょ,jail/prison,S,N1,3
476,型,血液型,けつえきがた,blood type,G4,N2,3
479,恵,知恵,ちえ,wisdom,S,N1,3
482,渓,渓谷,けいこく,valley with river running through it,S,N1,3
485,敬,尊敬語,そんけいご,honorific language,G6,N2,3
