No.,Character,Study Word,Furigana,Translation,Grade Level,JLPT,FR
628,高,高い,たかい,expensive,G2,N5,1
635,港,港/空港,"みなと/くうこう
",Harbor/Airport,G3,N3,1
645,興,興味,きょうみ,interest,G5,N1,1
651,号,信号,しんご,traffic light,G3,N3,1
659,谷,谷,たに,valley,G2,N2,1
661,国,国,こく,country,G2,N5,1
662,黒,黒い,くろい,black,G2,N4,1
666,骨,骨,ほね,bone,G6,N2,1
668,込,込む,こむ,to get crowded,S,N3,1
670,今,今,いま,now,G2,N5,1
671,困,困る,こまる,trouble,G6,N3,1
682,左,左,ひだり,left,G1,N5,1
686,砂,砂,すな,sand,G6,N2,1
691,座,座る,すわる,to sit,G6,N3,1
693,才,才,さい,age (casual),G2,N3,1
704,祭,祭,まつり,festival,G3,N2,1
708,最,最高,さいこう,the best/most/greatest,G4,N3,1
713,歳,歳,さい,age,S,N3,1
723,作,作る,つくる,make,G2,N4,1
725,昨,昨,きのう,yesterday,G4,N3,1
732,咲,咲,さく,bloom,S,N2,1
743,皿,皿,さら,plate,G3,N2,1
744,三,三/三つ,さん/みつ,three,G1,N5,1
745,山,山,やま,mountain,G1,N5,1
751,傘,傘,かさ,umbrella,S,N1,1
760,子,子供,こども,child,G1,N5,1
762,止,止まる,とまる,to stop,G2,N4,1
764,仕,仕事,しごと,work/job,G3,N4,1
765,史,歴史,れきし,history,G4,N2,1
767,四,四,よん,four,G1,N5,1
768,市,市　（都市）,し・とし,city,G2,N3,1
771,死,死ぬ,しぬ,to die,G3,N4,1
772,糸,糸,いと,string,G1,N2,1
776,私,私,わたし,me,G6,N4,1
777,使,使う,つかう,to use,G3,N4,1
779,始,始まる/始める,はじまる/はじめる,to start,G3,N4,1
780,姉,姉 ,あね,older sister,G2,N4,1
785,思,思う,おもう,think,G2,N4,1
795,歯,歯,は,tooth,G3,N3,1
797,試,試験,しけん,test,G4,N4,1
807,字,文字,もんじ,character/letter (of the alphabet),G1,N4,1
